metric,topic,start_len,end_len,word_range,auc_resultsTROracleLite75_simulation_0,auc_topic,aucNorm_resultsTROracleLite75_simulation_0,score_limit,limit_wordCount_resultsTROracleLite75_simulation_0,limit_wordCount_topic,limit_relativeWordCount_resultsTROracleLite75_simulation_0,wordcount_limit_-inf,limit_F1score_resultsTROracleLite75_simulation_0_-inf,limit_F1score_avg_-inf,wordcount_limit_100,limit_F1score_resultsTROracleLite75_simulation_0_100,limit_F1score_avg_100,wordcount_limit_150,limit_F1score_resultsTROracleLite75_simulation_0_150,limit_F1score_avg_150,wordcount_limit_250,limit_F1score_resultsTROracleLite75_simulation_0_250,limit_F1score_avg_250,wordcount_limit_350,limit_F1score_resultsTROracleLite75_simulation_0_350,limit_F1score_avg_350
RSU,D0608,105,333,228,24.8332019,24.8332019,0.108917552,0.11,170.4827839,170.4827839,0.182266064,#NAME?,0.0403,0.0403,100,0.053637903,0.053637903,150,0.097291364,0.097291364,250,0.135565714,0.135565714,350,0.137404737,0.137404737
RSU,D0614,105,333,228,30.79495854,30.79495854,0.135065608,0.11,147.5780279,147.5780279,0.126815291,#NAME?,0.04255,0.04255,100,0.061077209,0.061077209,150,0.112621455,0.112621455,250,0.176796774,0.176796774,350,0.178114615,0.178114615
RSU,D0615,105,333,228,23.30755208,23.30755208,0.102226106,0.11,193.2584109,193.2584109,0.189502493,#NAME?,0.03684,0.03684,100,0.047774627,0.047774627,150,0.086826866,0.086826866,250,0.135402063,0.135402063,350,0.145044565,0.145044565
RSU,D0616,105,333,228,23.72404384,23.72404384,0.104052824,0.11,196.6523056,196.6523056,0.215850995,#NAME?,0.03616,0.03616,100,0.044529057,0.044529057,150,0.077305,0.077305,250,0.139984255,0.139984255,350,0.149489412,0.149489412
RSU,D0617,105,333,228,27.32957523,27.32957523,0.119866558,0.11,140.1302386,140.1302386,0.225874469,#NAME?,0.00712,0.00712,100,0.0602064,0.0602064,150,0.114769778,0.114769778,250,0.1505105,0.1505105,350,0.168986122,0.168986122
RSU,D0620,105,333,228,24.98652617,24.98652617,0.109590027,0.11,177.7525773,177.7525773,0.177727876,#NAME?,0.05008,0.05008,100,0.056467097,0.056467097,150,0.08308,0.08308,250,0.145675517,0.145675517,350,0.154194583,0.154194583
RSU,D0624,105,333,228,28.46073181,28.46073181,0.124827771,0.11,154.7190446,154.7190446,0.126140201,#NAME?,0.04844,0.04844,100,0.059116735,0.059116735,150,0.106048421,0.106048421,250,0.157835538,0.157835538,350,0.194613939,0.194613939
RSU,D0627,105,333,228,22.68348586,22.68348586,0.099488973,0.11,197.7763441,197.7763441,0.365794947,#NAME?,0.00324,0.00324,100,0.0454,0.0454,150,0.07588,0.07588,250,0.134059344,0.134059344,350,0.142147059,0.142147059
RSU,D0628,105,333,228,22.213518,22.213518,0.097427711,0.11,211.3091207,211.3091207,0.201725087,#NAME?,0.04395,0.04395,100,,nan,150,0.073964286,0.073964286,250,0.125927143,0.125927143,350,0.137885333,0.137885333
RSU,D0629,105,333,228,20.75679652,20.75679652,0.091038581,0.11,232.5463166,232.5463166,0.311487314,#NAME?,0.03568,0.03568,100,0.039703478,0.039703478,150,0.069010469,0.069010469,250,0.114601731,0.114601731,350,0.133021522,0.133021522
RSU,D0630,105,333,228,29.3554718,29.3554718,0.128752069,0.11,149.079857,149.079857,0.138084017,#NAME?,0.04033,0.04033,100,0.0634082,0.0634082,150,0.110812632,0.110812632,250,0.170737143,0.170737143,350,0.177245484,0.177245484
RSU,D0631,105,333,228,26.48026396,26.48026396,0.116141509,0.11,162.1649208,162.1649208,0.151666505,#NAME?,0.05332,0.05332,100,0.062671429,0.062671429,150,0.100942,0.100942,250,0.148230571,0.148230571,350,0.165275357,0.165275357
RSU,D0640,105,333,228,26.36260912,26.36260912,0.115625479,0.11,170.1417254,170.1417254,0.140742561,#NAME?,0.03977,0.03977,100,0.046322,0.046322,150,0.097957368,0.097957368,250,0.154329259,0.154329259,350,0.157863846,0.157863846
RSU,D0643,105,333,228,26.72282123,26.72282123,0.117205356,0.11,175.5480226,175.5480226,0.139516914,#NAME?,0.05308,0.05308,100,0.05534,0.05534,150,0.093006667,0.093006667,250,0.1581675,0.1581675,350,0.17606,0.17606
RSU,D0645,105,333,228,25.39272,25.39272,0.111371579,0.11,175.2939118,175.2939118,0.154279265,#NAME?,0.04871,0.04871,100,0.050755238,0.050755238,150,0.096856364,0.096856364,250,0.147884262,0.147884262,350,0.155893333,0.155893333
RSU,D0647,105,333,228,37.60177171,37.60177171,0.164920051,0.11,122.8945822,122.8945822,0.082615318,#NAME?,0.05569,0.05569,100,0.079594878,0.079594878,150,0.138390217,0.138390217,250,0.215379474,0.215379474,350,0.241256034,0.241256034
RSU,D0650,105,333,228,22.09511188,22.09511188,0.096908385,0.11,202.7915235,202.7915235,0.182388365,#NAME?,0.03725,0.03725,100,0.041268519,0.041268519,150,0.081195625,0.081195625,250,0.122051167,0.122051167,350,0.127922174,0.127922174
RSU,AVG,105,333,228,25.46331457,25.46331457,0.111681204,0.11,,177.5433707,0.18464141,#NAME?,0.039282381,0.039282381,100,0.052977055,nan,150,0.093539611,0.093539611,250,0.145525371,0.145525371,350,0.15651049,0.15651049
RSU,STD,0,0,0,3.755109417,3.755109417,0.016469778,0.11,,26.37578322,0.061403407,#NAME?,0.013010214,0.013010214,100,0.010126497,nan,150,0.016787697,0.016787697,250,0.022110351,0.022110351,350,0.026160497,0.026160497
RSU,BootAvg,,,,,25.42154396,,,,177.6184181,,#NAME?,,0.039376667,100,,nan,150,,0.093415862,250,,0.145232229,350,,0.156025358
