metric,topic,start_len,end_len,word_range,auc_resultsClusteringSpacyOracleLite75_simulation_0,auc_topic,aucNorm_resultsClusteringSpacyOracleLite75_simulation_0,score_limit,limit_wordCount_resultsClusteringSpacyOracleLite75_simulation_0,limit_wordCount_topic,limit_relativeWordCount_resultsClusteringSpacyOracleLite75_simulation_0,wordcount_limit_-inf,limit_F1score_resultsClusteringSpacyOracleLite75_simulation_0_-inf,limit_F1score_avg_-inf,wordcount_limit_100,limit_F1score_resultsClusteringSpacyOracleLite75_simulation_0_100,limit_F1score_avg_100,wordcount_limit_150,limit_F1score_resultsClusteringSpacyOracleLite75_simulation_0_150,limit_F1score_avg_150,wordcount_limit_250,limit_F1score_resultsClusteringSpacyOracleLite75_simulation_0_250,limit_F1score_avg_250,wordcount_limit_350,limit_F1score_resultsClusteringSpacyOracleLite75_simulation_0_350,limit_F1score_avg_350
RL,D0615,105,333,228,60.456501,60.456501,0.265160092,0.29,203.7050749,203.7050749,0.24941015,#NAME?,0.18779,0.18779,100,0.211165172,0.211165172,150,0.259865472,0.259865472,250,0.312470169,0.312470169,350,0.3353415,0.3353415
RL,D0616,105,333,228,64.65976236,64.65976236,0.283595449,0.29,151.3388498,151.3388498,0.122233039,#NAME?,0.22123,0.22123,100,0.234270189,0.234270189,150,0.289148421,0.289148421,250,0.330387288,0.330387288,350,0.330342,0.330342
RL,D0617,105,333,228,66.41780191,66.41780191,0.291306149,0.29,140.1680686,140.1680686,0.132974062,#NAME?,0.18894,0.18894,100,0.2254674,0.2254674,150,0.302404286,0.302404286,250,0.33953561,0.33953561,350,0.326585111,0.326585111
RL,D0620,105,333,228,60.77990847,60.77990847,0.266578546,0.29,191.8735444,191.8735444,0.185662514,#NAME?,0.22304,0.22304,100,0.224690968,0.224690968,150,0.252207097,0.252207097,250,0.322126538,0.322126538,350,0.31856,0.31856
RL,D0624,105,333,228,75.06577453,75.06577453,0.329235853,0.29,117.5392048,117.5392048,0.088852146,#NAME?,0.214,0.214,100,0.256287143,0.256287143,150,0.324845385,0.324845385,250,0.390026744,0.390026744,350,0.408630455,0.408630455
RL,D0627,105,333,228,61.32556429,61.32556429,0.268971773,0.29,189.4631528,189.4631528,0.21645011,#NAME?,0.18967,0.18967,100,0.205096667,0.205096667,150,0.256278,0.256278,250,0.324804348,0.324804348,350,0.354264737,0.354264737
RL,D0628,105,333,228,62.94685903,62.94685903,0.276082715,0.29,160.4746228,160.4746228,0.168635602,#NAME?,0.20583,0.20583,100,0.236162941,0.236162941,150,0.284545714,0.284545714,250,0.316764348,0.316764348,350,0.32630717,0.32630717
RL,D0629,105,333,228,55.04795971,55.04795971,0.24143842,0.29,221.606169,221.606169,0.328485103,#NAME?,0.16464,0.16464,100,0.179329831,0.179329831,150,0.225093409,0.225093409,250,0.29486,0.29486,350,0.283353137,0.283353137
RL,D0630,105,333,228,61.70651693,61.70651693,0.270642618,0.29,171.6271103,171.6271103,0.169285648,#NAME?,0.18556,0.18556,100,0.201493103,0.201493103,150,0.266851404,0.266851404,250,0.330499149,0.330499149,350,0.317428276,0.317428276
RL,D0631,105,333,228,68.63027216,68.63027216,0.301009966,0.29,148.1606,148.1606,0.161795067,#NAME?,0.21501,0.21501,100,0.241099091,0.241099091,150,0.291774043,0.291774043,250,0.347363019,0.347363019,350,0.359443333,0.359443333
