metric,topic,start_len,end_len,word_range,auc_resultsClusteringSpacyKeyphrases75_2_simulation_0,auc_topic,aucNorm_resultsClusteringSpacyKeyphrases75_2_simulation_0,score_limit,limit_wordCount_resultsClusteringSpacyKeyphrases75_2_simulation_0,limit_wordCount_topic,limit_relativeWordCount_resultsClusteringSpacyKeyphrases75_2_simulation_0,wordcount_limit_-inf,limit_F1score_resultsClusteringSpacyKeyphrases75_2_simulation_0_-inf,limit_F1score_avg_-inf,wordcount_limit_100,limit_F1score_resultsClusteringSpacyKeyphrases75_2_simulation_0_100,limit_F1score_avg_100,wordcount_limit_150,limit_F1score_resultsClusteringSpacyKeyphrases75_2_simulation_0_150,limit_F1score_avg_150,wordcount_limit_250,limit_F1score_resultsClusteringSpacyKeyphrases75_2_simulation_0_250,limit_F1score_avg_250,wordcount_limit_350,limit_F1score_resultsClusteringSpacyKeyphrases75_2_simulation_0_350,limit_F1score_avg_350
RL,D0645,105,333,228,63.07070916,63.07070916,0.276625917,0.29,145.4475316,145.4475316,0.166110486,#NAME?,0.19047,0.19047,100,0.232446471,0.232446471,150,0.294078,0.294078,250,0.310496585,0.310496585,350,0.326334595,0.326334595
RL,D0647,105,333,228,52.43198364,52.43198364,0.229964841,0.29,254.2827988,254.2827988,0.525252435,#NAME?,0.17028,0.17028,100,0.176106122,0.176106122,150,0.2181968,0.2181968,250,0.288067105,0.288067105,350,0.2901396,0.2901396
RL,D0650,105,333,228,54.93604532,54.93604532,0.240947567,0.29,267.5424028,267.5424028,0.436986146,#NAME?,0.21991,0.21991,100,0.227147742,0.227147742,150,0.2442,0.2442,250,0.278318824,0.278318824,350,0.296836,0.296836
RL,AVG,105,333,228,60.16262971,60.16262971,0.263871183,0.29,,194.0595951,0.319931187,#NAME?,0.199987,0.199987,100,0.219005217,0.219005217,150,0.267606502,0.267606502,250,0.309637137,0.309637137,350,0.312916093,0.312916093
RL,STD,0,0,0,4.636144483,4.636144483,0.020333967,0.29,,46.79688998,0.207014816,#NAME?,0.019253992,0.019253992,100,0.020231735,0.020231735,150,0.022540697,0.022540697,250,0.024175461,0.024175461,350,0.025171022,0.025171022
RL,BootAvg,,,,,60.14312175,,,,193.8787193,,#NAME?,,0.19987675,100,,0.219000569,150,,0.267737802,250,,0.309526765,350,,0.312881935
RL,BootLower,,,,1.991531885,58.15158987,,,,173.9743139,,#NAME?,0.008243262,0.191633488,100,0.009047355,0.209953214,150,0.010145559,0.257592243,250,0.010125543,0.299401222,350,0.01065782,0.302224115
RL,BootUpper,,,,2.072631684,62.21575344,,,,216.4117597,,#NAME?,0.008713338,0.208590088,100,0.008457138,0.227457707,150,0.009449426,0.277187229,250,0.01116953,0.320696295,350,0.010934459,0.323816395
,,,,,,,,,,,,,,,,,,,,,,,,,,
RSU,D0601,105,333,228,20.24235099,20.24235099,0.088782241,0.11,214.5519288,214.5519288,0.375882833,#NAME?,0.0357,0.0357,100,0.045483333,0.045483333,150,0.07033,0.07033,250,0.117041667,0.117041667,350,0.113691739,0.113691739
